Order_ID,Order_Date,Ship_Date,Region,City,Customer_Segment,Sales_Channel,Product_ID,Quantity,Discount,Sales,Shipping_Cost
ORD-100067,2024-11-04,2024-11-09,West,Liverpool,Home Office,Online,P-006,4,0,600.31,9.5
ORD-100068,2024-07-11,2024-07-13,East,Norwich,Corporate,Retail Store,P-003,4,0,405.27,8.22
ORD-100069,2024-12-02,2024-12-06,North,Leeds,Corporate,Online,P-001,1,0.1,376.49,6.8
ORD-100070,2024-05-10,2024-05-13,East,Norwich,Home Office,B2B Sales,P-005,4,0,218.27,9.5
ORD-100071,2024-03-11,2024-03-12,North,Leeds,Corporate,B2B Sales,P-006,4,0,418.07,5.7
ORD-100072,2024-12-11,2024-12-14,West,Birmingham,Corporate,B2B Sales,P-008,7,0,1907.78,7.95
ORD-100073,2025-01-18,2025-01-21,North,Newcastle,Small Business,Retail Store,P-006,4,0,413.19,5.7
ORD-100074,2024-04-14,2024-04-20,South,Brighton,Small Business,B2B Sales,P-006,1,0.25,83.36,5.75
ORD-100075,2024-03-17,2024-03-18,West,Cardiff,Small Business,Retail Store,P-005,4,0.1,180.69,5.7
ORD-100076,2024-11-17,2024-11-23,South,London,Home Office,Online,P-005,3,0.2,168.04,4.95
ORD-100077,2025-03-23,2025-03-29,South,Bristol,Small Business,Online,P-008,3,0,530.74,4.95
ORD-100078,2025-10-26,2025-10-28,North,Newcastle,Home Office,Online,P-005,1,0,62.22,3.45
ORD-100079,2025-04-01,2025-04-03,North,Manchester,Small Business,B2B Sales,P-009,2,0,248.11,7
ORD-100080,2025-04-05,2025-04-07,East,Peterborough,Small Business,Retail Store,P-009,1,0,123.25,3.45
ORD-100081,2025-11-13,2025-11-16,South,London,Home Office,Online,P-005,4,0,275.04,5.7
ORD-100082,2024-08-08,2024-08-13,South,Bristol,Corporate,B2B Sales,P-014,8,0,216.42,4.86
ORD-100083,2024-04-17,2024-04-22,West,Birmingham,Home Office,Retail Store,P-009,3,0.2,305.68,4.95
ORD-100084,2024-04-30,2024-05-04,West,Cardiff,Corporate,Online,P-003,2,0.15,188.33,5.46
ORD-100085,2024-03-21,2024-03-22,West,Birmingham,Small Business,B2B Sales,P-012,5,0,39.4,6.75
ORD-100086,2024-01-10,2024-01-16,East,Cambridge,Home Office,Online,P-010,6,0,30.7,4.32
ORD-100087,2025-09-12,2025-09-17,West,Birmingham,Small Business,B2B Sales,P-005,2,0.25,81.63,7
ORD-100088,2025-03-31,2025-04-01,West,Birmingham,Small Business,Retail Store,P-008,4,0.1,627.72,9.5
ORD-100089,2025-08-06,2025-08-09,East,Cambridge,Small Business,B2B Sales,P-008,1,0.25,131.95,5.75
ORD-100090,2025-02-26,2025-03-02,North,Leeds,Small Business,Online,P-007,3,0,145.55,8.25
ORD-100091,2025-10-02,2025-10-04,South,Bristol,Corporate,Online,P-008,2,0,463.21,7
ORD-100092,2025-09-03,2025-09-05,North,Newcastle,Home Office,Retail Store,P-005,3,0,171.28,8.25
ORD-100093,2024-01-04,2024-01-09,East,Cambridge,Small Business,Retail Store,P-009,4,0.15,388.72,9.5
ORD-100094,2025-01-20,2025-01-23,North,Leeds,Corporate,B2B Sales,P-001,4,0.2,765.87,8.22
ORD-100095,2025-07-24,2025-07-25,South,London,Corporate,B2B Sales,P-013,7,0,78.84,7.65
ORD-100096,2025-11-22,2025-11-28,South,London,Home Office,Retail Store,P-006,3,0.1,406.74,4.95
ORD-100097,2024-01-12,2024-01-18,East,Peterborough,Small Business,Retail Store,P-014,13,0,325.66,6.21
ORD-100098,2025-04-02,2025-04-03,West,Cardiff,Corporate,Retail Store,P-015,9,0.15,48.6,5.13
ORD-100099,2025-01-04,2025-01-08,East,Cambridge,Corporate,Retail Store,P-003,5,0.15,442.51,16
ORD-100100,2025-01-24,2025-01-30,West,Liverpool,Corporate,B2B Sales,P-003,4,0,401.66,13.7
ORD-100101,2025-04-17,2025-04-23,West,Cardiff,Small Business,Online,P-011,12,0.05,161.91,5.94
ORD-100102,2024-11-03,2024-11-04,South,Brighton,Corporate,Retail Store,P-008,4,0.05,1020.2,9.5
ORD-100103,2025-08-25,2025-08-28,West,Birmingham,Corporate,Online,P-012,6,0,46.16,7.2
ORD-100104,2024-05-04,2024-05-06,West,Cardiff,Corporate,Online,P-010,7,0,44,7.65
ORD-100105,2024-08-26,2024-08-28,East,Cambridge,Small Business,B2B Sales,P-012,5,0,37.82,6.75
ORD-100106,2025-09-14,2025-09-18,South,Brighton,Corporate,Retail Store,P-001,4,0,1163.2,8.22
ORD-100107,2024-10-08,2024-10-14,South,Brighton,Small Business,Retail Store,P-006,4,0.2,438.36,9.5
ORD-100108,2025-11-12,2025-11-18,West,Cardiff,Corporate,Retail Store,P-007,1,0.15,68.55,5.75
ORD-100109,2025-07-24,2025-07-27,West,Birmingham,Small Business,Retail Store,P-003,2,0,205.31,5.46
ORD-100110,2024-04-12,2024-04-16,East,Norwich,Small Business,B2B Sales,P-001,4,0,1086.59,13.7
ORD-100111,2024-10-21,2024-10-22,North,Newcastle,Small Business,Retail Store,P-011,10,0,171.87,9
ORD-100112,2025-10-15,2025-10-18,West,Cardiff,Small Business,Online,P-015,12,0,89.24,5.94
ORD-100113,2025-06-21,2025-06-23,East,Cambridge,Small Business,Retail Store,P-007,1,0.15,49.09,5.75
ORD-100114,2025-05-21,2025-05-24,East,Cambridge,Small Business,Online,P-008,4,0,764.32,9.5
ORD-100115,2024-07-30,2024-08-01,West,Liverpool,Home Office,Retail Store,P-013,11,0.1,110.57,5.67
ORD-100116,2024-08-09,2024-08-15,South,Brighton,Home Office,B2B Sales,P-003,4,0,405.64,13.7
ORD-100117,2025-04-25,2025-04-30,West,Liverpool,Corporate,B2B Sales,P-006,4,0.2,334.56,5.7
ORD-100118,2024-12-03,2024-12-04,South,Bristol,Small Business,Retail Store,P-014,5,0,195.69,6.75
ORD-100119,2025-03-08,2025-03-11,North,Manchester,Corporate,B2B Sales,P-005,4,0.05,182.07,5.7
ORD-100120,2024-01-09,2024-01-12,West,Liverpool,Corporate,B2B Sales,P-007,4,0.25,158.08,5.7
ORD-100121,2024-05-27,2024-05-28,North,Manchester,Small Business,Online,P-005,3,0,162.52,4.95
ORD-100122,2024-03-28,2024-04-03,South,Bristol,Home Office,B2B Sales,P-001,1,0.25,202.1,4.08
ORD-100123,2025-10-25,2025-10-31,West,Cardiff,Home Office,Retail Store,P-012,3,0,30.25,3.51
ORD-100124,2025-08-24,2025-08-29,West,Liverpool,Home Office,B2B Sales,P-012,8,0,65.24,4.86
ORD-100125,2024-08-06,2024-08-08,West,Birmingham,Small Business,Retail Store,P-007,3,0.15,140.37,8.25
ORD-100126,2024-03-19,2024-03-21,East,Norwich,Home Office,B2B Sales,P-010,13,0.1,65.95,6.21
ORD-100127,2024-09-29,2024-09-30,East,Norwich,Small Business,B2B Sales,P-014,5,0.1,135.84,6.75
ORD-100128,2025-07-26,2025-07-27,South,London,Home Office,B2B Sales,P-004,3,0.15,238.17,6.84
ORD-100129,2024-08-16,2024-08-18,South,London,Corporate,B2B Sales,P-011,13,0,174.1,10.35
ORD-100130,2025-07-15,2025-07-19,North,Manchester,Home Office,B2B Sales,P-014,12,0.1,288.25,5.94
ORD-100131,2024-06-15,2024-06-20,West,Liverpool,Corporate,B2B Sales,P-011,10,0,147.09,5.4
ORD-100132,2025-02-13,2025-02-17,West,Liverpool,Corporate,Online,P-007,4,0,196.36,5.7
ORD-100133,2024-02-08,2024-02-14,West,Cardiff,Home Office,B2B Sales,P-007,4,0,191.93,5.7
ORD-100134,2025-05-02,2025-05-03,North,Manchester,Corporate,Online,P-005,7,0.2,284.9,7.95
ORD-100135,2024-07-06,2024-07-09,South,Bristol,Small Business,B2B Sales,P-009,3,0,362.14,4.95
ORD-100136,2025-09-20,2025-09-25,North,Leeds,Home Office,Online,P-008,1,0,205.2,3.45
ORD-100137,2024-07-03,2024-07-06,East,Peterborough,Small Business,Retail Store,P-009,7,0.15,671.2,7.95
ORD-100138,2025-05-11,2025-05-14,East,Peterborough,Small Business,Online,P-009,4,0.2,411.97,5.7
ORD-100139,2024-07-26,2024-08-01,West,Cardiff,Small Business,B2B Sales,P-005,2,0,90.92,4.2
ORD-100140,2025-08-14,2025-08-18,North,Leeds,Corporate,B2B Sales,P-014,4,0,104.34,3.78
ORD-100141,2024-12-08,2024-12-12,North,Manchester,Small Business,Online,P-005,4,0,284.68,9.5
ORD-100142,2024-12-29,2025-01-01,North,Newcastle,Small Business,B2B Sales,P-002,2,0.25,463.68,5.46
ORD-100143,2024-10-14,2024-10-16,South,Brighton,Small Business,B2B Sales,P-009,2,0.05,272.56,7
ORD-100144,2024-11-14,2024-11-17,East,Peterborough,Home Office,Online,P-006,2,0.05,295.95,7
ORD-100145,2025-07-21,2025-07-23,East,Peterborough,Home Office,B2B Sales,P-009,4,0.1,426.96,5.7
ORD-100146,2024-07-12,2024-07-13,West,Birmingham,Small Business,B2B Sales,P-010,8,0,46.69,8.1
ORD-100147,2024-04-25,2024-04-30,North,Manchester,Small Business,B2B Sales,P-008,2,0.05,352.76,7
ORD-100148,2024-10-15,2024-10-16,West,Liverpool,Home Office,Retail Store,P-010,7,0,50.39,4.59
ORD-100149,2024-01-30,2024-02-04,South,Brighton,Corporate,Online,P-006,3,0,293.66,4.95
ORD-100150,2024-08-10,2024-08-14,West,Birmingham,Home Office,Online,P-013,11,0.15,102.19,5.67
ORD-100151,2024-08-25,2024-08-26,North,Manchester,Home Office,B2B Sales,P-014,8,0,199.21,8.1
ORD-100152,2025-11-28,2025-12-03,West,Birmingham,Corporate,Online,P-014,6,0,215.06,4.32
ORD-100153,2024-02-11,2024-02-12,East,Norwich,Home Office,Retail Store,P-003,2,0.1,178.36,5.46
ORD-100154,2024-09-11,2024-09-13,North,Newcastle,Small Business,B2B Sales,P-010,6,0,38.92,7.2
ORD-100155,2024-09-26,2024-09-29,South,Brighton,Home Office,Online,P-015,23,0,160.51,14.85
ORD-100156,2025-12-27,2025-12-28,West,Cardiff,Home Office,Online,P-009,3,0,564.28,4.95
ORD-100157,2024-08-13,2024-08-17,West,Cardiff,Small Business,B2B Sales,P-008,3,0.25,429.09,8.25
ORD-100158,2025-07-27,2025-07-31,West,Liverpool,Home Office,Online,P-003,5,0.1,483.95,16
ORD-100159,2025-08-03,2025-08-06,South,Brighton,Home Office,Retail Store,P-009,2,0.25,174.11,7
ORD-100160,2024-03-16,2024-03-21,North,Leeds,Small Business,Retail Store,P-002,1,0,197.86,6.8
ORD-100161,2024-01-16,2024-01-17,West,Cardiff,Small Business,B2B Sales,P-004,2,0.15,162.97,5.46
ORD-100162,2025-03-13,2025-03-19,East,Peterborough,Small Business,B2B Sales,P-001,1,0,274.7,6.8
ORD-100163,2025-10-06,2025-10-12,East,Cambridge,Corporate,Retail Store,P-008,1,0,215.38,3.45
ORD-100164,2024-04-18,2024-04-23,East,Cambridge,Small Business,B2B Sales,P-013,8,0,95.35,8.1
ORD-100165,2025-04-09,2025-04-14,East,Norwich,Corporate,B2B Sales,P-005,3,0,146.08,4.95
ORD-100166,2024-07-17,2024-07-23,South,London,Home Office,B2B Sales,P-002,3,0,600.47,6.84
ORD-100167,2025-01-06,2025-01-08,South,Bristol,Corporate,Online,P-011,14,0.05,166.91,10.8
ORD-100168,2025-04-21,2025-04-25,West,Cardiff,Home Office,Online,P-013,4,0.1,45.1,3.78
ORD-100169,2025-10-02,2025-10-07,West,Liverpool,Home Office,B2B Sales,P-008,4,0.05,864.55,9.5
ORD-100170,2025-02-20,2025-02-26,North,Manchester,Home Office,B2B Sales,P-009,4,0,433.61,5.7
ORD-100171,2024-01-28,2024-01-30,West,Liverpool,Corporate,Online,P-011,7,0,95.54,4.59
ORD-100172,2024-11-24,2024-11-29,South,London,Corporate,B2B Sales,P-006,3,0.05,408.63,4.95
ORD-100173,2024-08-13,2024-08-14,East,Norwich,Home Office,B2B Sales,P-002,2,0,393.65,5.46
ORD-100174,2025-01-30,2025-02-04,West,Cardiff,Corporate,Retail Store,P-002,3,0.15,437.79,11.4
ORD-100175,2025-04-19,2025-04-21,East,Norwich,Home Office,B2B Sales,P-013,20,0,230.65,8.1
ORD-100176,2024-01-03,2024-01-06,East,Peterborough,Corporate,Retail Store,P-014,5,0,118.12,4.05
ORD-100177,2025-12-23,2025-12-26,West,Birmingham,Small Business,Retail Store,P-003,1,0,165.14,6.8
ORD-100178,2025-04-28,2025-04-29,North,Leeds,Corporate,Online,P-011,8,0,121.37,8.1
ORD-100179,2025-10-09,2025-10-15,North,Leeds,Home Office,Online,P-006,1,0,133.91,3.45
ORD-100180,2025-10-22,2025-10-23,West,Liverpool,Corporate,B2B Sales,P-004,4,0,471.48,8.22
ORD-100181,2024-02-20,2024-02-25,West,Liverpool,Corporate,Online,P-009,3,0,319.4,8.25
ORD-100182,2025-07-25,2025-07-28,East,Cambridge,Small Business,B2B Sales,P-001,5,0,1302.15,16
ORD-100183,2024-11-11,2024-11-12,South,Brighton,Small Business,Retail Store,P-006,2,0.2,236.38,7
ORD-100184,2024-09-23,2024-09-24,East,Norwich,Small Business,Online,P-012,5,0.2,34.78,6.75
ORD-100185,2024-12-29,2024-12-31,West,Cardiff,Corporate,B2B Sales,P-008,4,0.1,1018,9.5
ORD-100186,2025-04-13,2025-04-17,West,Liverpool,Corporate,Online,P-011,14,0,207.46,6.48
ORD-100187,2024-03-30,2024-04-02,East,Norwich,Corporate,Retail Store,P-009,1,0.1,106.88,3.45
ORD-100188,2024-02-02,2024-02-05,South,Bristol,Home Office,Online,P-006,4,0,408.99,5.7
ORD-100189,2024-12-22,2024-12-23,West,Birmingham,Corporate,B2B Sales,P-009,4,0,756.56,9.5
ORD-100190,2024-01-08,2024-01-11,South,London,Corporate,Retail Store,P-004,1,0.1,85.59,4.08
ORD-100191,2025-08-25,2025-08-28,North,Manchester,Small Business,Online,P-011,3,0.2,33.49,3.51
ORD-100192,2024-09-16,2024-09-17,North,Leeds,Small Business,Retail Store,P-012,10,0,93.55,5.4
ORD-100193,2024-12-09,2024-12-11,East,Cambridge,Small Business,Retail Store,P-002,1,0,302.95,4.08
ORD-100194,2025-10-09,2025-10-13,East,Peterborough,Corporate,B2B Sales,P-009,1,0.15,129.21,5.75
ORD-100195,2024-08-10,2024-08-16,West,Birmingham,Corporate,Online,P-002,2,0,406.86,9.1
ORD-100196,2024-02-20,2024-02-24,East,Peterborough,Corporate,B2B Sales,P-015,4,0.15,19.56,3.78
ORD-100197,2025-09-05,2025-09-10,South,Bristol,Small Business,B2B Sales,P-014,11,0.1,296.26,5.67
ORD-100198,2024-11-03,2024-11-05,North,Newcastle,Small Business,B2B Sales,P-006,1,0.25,108.26,5.75
ORD-100199,2025-12-26,2025-12-28,South,Brighton,Corporate,Retail Store,P-015,11,0,93.16,9.45
ORD-100200,2025-04-23,2025-04-29,South,Bristol,Small Business,Online,P-012,8,0,62.59,4.86
ORD-100201,2025-07-09,2025-07-10,South,Brighton,Corporate,Retail Store,P-009,1,0.2,90.1,3.45
ORD-100202,2024-06-09,2024-06-14,West,Birmingham,Home Office,Online,P-001,7,0.15,1717.7,12.36
ORD-100203,2024-03-06,2024-03-11,West,Liverpool,Small Business,Online,P-001,1,0.15,239.65,6.8
ORD-100204,2025-06-20,2025-06-24,West,Liverpool,Corporate,Retail Store,P-013,7,0,92.57,7.65
ORD-100205,2025-12-20,2025-12-24,South,Bristol,Small Business,Retail Store,P-006,4,0,682.3,5.7
ORD-100206,2024-09-28,2024-09-29,North,Leeds,Corporate,Retail Store,P-009,5,0,702.28,6.45
ORD-100207,2024-12-15,2024-12-18,East,Norwich,Home Office,Online,P-004,1,0,152.43,4.08
ORD-100208,2024-10-13,2024-10-15,West,Cardiff,Small Business,B2B Sales,P-001,1,0.05,308.32,4.08
ORD-100209,2025-08-09,2025-08-12,West,Birmingham,Corporate,Retail Store,P-003,1,0.05,105.73,4.08
ORD-100210,2025-09-13,2025-09-14,North,Manchester,Corporate,Retail Store,P-015,4,0.25,19.27,3.78
ORD-100211,2024-09-21,2024-09-27,North,Leeds,Home Office,Retail Store,P-006,1,0,121.59,3.45
ORD-100212,2025-03-15,2025-03-20,East,Peterborough,Corporate,Retail Store,P-015,5,0,27.99,6.75
ORD-100213,2025-12-09,2025-12-12,West,Birmingham,Corporate,Retail Store,P-009,4,0.1,675.3,9.5
ORD-100214,2024-12-07,2024-12-10,West,Birmingham,Corporate,Online,P-001,7,0,2809.08,12.36
ORD-100215,2025-03-23,2025-03-24,North,Newcastle,Small Business,Online,P-013,11,0,130.91,5.67
ORD-100216,2025-07-30,2025-08-01,South,Brighton,Small Business,Retail Store,P-003,3,0,325,11.4
ORD-100217,2024-04-11,2024-04-12,West,Birmingham,Home Office,Online,P-007,5,0,275.57,10.75
ORD-100218,2025-10-09,2025-10-12,West,Birmingham,Home Office,Retail Store,P-003,3,0.15,315.11,6.84
ORD-100219,2025-10-31,2025-11-05,South,Brighton,Small Business,Retail Store,P-009,4,0.15,475.11,5.7
ORD-100220,2024-07-25,2024-07-30,South,London,Corporate,Online,P-005,2,0,98.57,7
ORD-100221,2025-10-02,2025-10-04,South,Brighton,Small Business,B2B Sales,P-002,1,0,243.71,4.08
ORD-100222,2025-08-16,2025-08-19,North,Leeds,Corporate,B2B Sales,P-015,3,0,16.83,3.51
ORD-100223,2025-08-29,2025-08-31,West,Cardiff,Home Office,Retail Store,P-006,5,0,506.92,10.75
ORD-100224,2025-06-16,2025-06-17,North,Manchester,Small Business,Retail Store,P-004,3,0,332.52,11.4
ORD-100225,2024-11-28,2024-11-29,East,Cambridge,Corporate,B2B Sales,P-008,3,0,804.09,4.95
ORD-100226,2025-08-06,2025-08-07,West,Birmingham,Home Office,Retail Store,P-010,8,0.15,40.75,8.1
ORD-100227,2025-03-19,2025-03-22,West,Birmingham,Corporate,B2B Sales,P-013,13,0.05,148.64,10.35
ORD-100228,2024-08-29,2024-09-01,South,Bristol,Home Office,Online,P-008,2,0.2,278.97,7
ORD-100229,2024-02-03,2024-02-04,West,Birmingham,Home Office,Retail Store,P-004,4,0,374.67,8.22
ORD-100230,2024-05-07,2024-05-12,East,Cambridge,Corporate,Online,P-007,4,0.05,222.97,5.7
ORD-100231,2024-08-21,2024-08-22,South,Bristol,Home Office,B2B Sales,P-015,10,0,57.33,5.4
ORD-100232,2025-08-12,2025-08-16,South,Brighton,Home Office,B2B Sales,P-010,4,0,24,6.3
ORD-100233,2024-05-16,2024-05-21,West,Liverpool,Corporate,Retail Store,P-001,3,0,857,6.84
ORD-100234,2024-08-24,2024-08-29,South,Bristol,Corporate,Retail Store,P-013,16,0,177.53,7.02
ORD-100235,2024-05-15,2024-05-20,North,Manchester,Small Business,Online,P-005,1,0,53.09,3.45
ORD-100236,2024-02-27,2024-03-04,North,Manchester,Home Office,Online,P-006,1,0,101.23,5.75
ORD-100237,2025-09-29,2025-10-05,West,Liverpool,Small Business,B2B Sales,P-014,9,0.1,249.32,5.13
ORD-100238,2024-03-07,2024-03-10,South,Brighton,Corporate,B2B Sales,P-008,4,0.1,623.68,9.5
ORD-100239,2025-05-14,2025-05-19,North,Newcastle,Small Business,Online,P-001,2,0,589.43,9.1
ORD-100240,2024-10-19,2024-10-23,East,Cambridge,Corporate,B2B Sales,P-008,3,0,669.63,4.95
ORD-100241,2025-11-04,2025-11-07,East,Peterborough,Home Office,Retail Store,P-009,3,0.05,473.62,4.95
ORD-100242,2025-09-13,2025-09-15,West,Birmingham,Small Business,Online,P-014,14,0.25,303.95,6.48
ORD-100243,2024-08-19,2024-08-23,North,Leeds,Corporate,Retail Store,P-014,8,0,216.53,4.86
ORD-100244,2024-05-28,2024-06-02,West,Liverpool,Home Office,B2B Sales,P-003,3,0,333.4,6.84
ORD-100245,2025-12-30,2026-01-04,South,London,Small Business,B2B Sales,P-011,12,0,240.97,9.9
ORD-100246,2025-10-30,2025-11-05,South,Brighton,Corporate,Retail Store,P-011,5,0,87.21,4.05
ORD-100247,2025-02-16,2025-02-21,North,Newcastle,Corporate,Online,P-003,1,0,100.68,4.08
ORD-100248,2024-09-11,2024-09-13,West,Birmingham,Small Business,Online,P-010,11,0.15,58.44,5.67
ORD-100249,2024-03-31,2024-04-04,West,Liverpool,Corporate,Online,P-003,2,0,204.69,9.1
ORD-100250,2025-08-11,2025-08-13,West,Liverpool,Small Business,Online,P-010,5,0,27.29,4.05
